axis,axis_label,distance_px,region,S,structure_corr,S_measurable,structure_corr_measurable,noise_level,sample_count_structure,noise_source,noise_corr,N,Q,sample_count_noise
z,t,1,all,0.9997197607297637,0.9997197607297637,0.9886318885083375,0.9886318885083375,F1,500000,gt,0.0006069674517504264,0.9993930325482496,0.999112963374129,500000
z,t,1,all,0.9997197607297637,0.9997197607297637,0.9886318885083375,0.9886318885083375,F1,500000,proxy,-0.06549047395557915,0.9345095260444208,0.9342476397768132,500000
z,t,1,foreground,0.9994384561913594,0.9994384561913594,0.9893734737138133,0.9893734737138133,F1,500000,gt,0.002658818806419375,0.9973411811935806,0.9967811304281791,500000
z,t,1,foreground,0.9994384561913594,0.9994384561913594,0.9893734737138133,0.9893734737138133,F1,500000,proxy,-0.01892114296622096,0.9810788570337791,0.9805279382758235,500000
z,t,1,background,0.9999534256066762,0.9999534256066762,0.9678062751835371,0.9678062751835371,F1,500000,gt,-0.0006056101486808807,0.9993943898513191,0.9993478436639206,500000
z,t,1,background,0.9999534256066762,0.9999534256066762,0.9678062751835371,0.9678062751835371,F1,500000,proxy,-0.09157479113412262,0.9084252088658774,0.9083828995128944,500000
z,t,2,all,0.9991813782479194,0.9991813782479194,0.9748978608622262,0.9748978608622262,F1,500000,gt,0.0017840990557213457,0.9982159009442787,0.997398739694493,500000
z,t,2,all,0.9991813782479194,0.9991813782479194,0.9748978608622262,0.9748978608622262,F1,500000,proxy,0.03535194401401388,0.9646480559859861,0.9638583741042538,500000
z,t,2,foreground,0.9979200170193072,0.9979200170193072,0.9760381637942978,0.9760381637942978,F1,500000,gt,0.0014207083263588262,0.9985792916736411,0.9965022637420877,500000
z,t,2,foreground,0.9979200170193072,0.9979200170193072,0.9760381637942978,0.9760381637942978,F1,500000,proxy,0.07903030602681742,0.9209696939731826,0.9190540926839845,500000
z,t,2,background,0.999816840948038,0.999816840948038,0.9224448797301004,0.9224448797301004,F1,500000,gt,0.0004622786014913844,0.9995377213985086,0.999354647017057,500000
z,t,2,background,0.999816840948038,0.999816840948038,0.9224448797301004,0.9224448797301004,F1,500000,proxy,0.010608178178133391,0.9893918218218666,0.9892106057537627,500000
z,t,3,all,0.9979183158450848,0.9979183158450848,0.9638197602690102,0.9638197602690102,F1,500000,gt,0.0008645542674630896,0.9991354457325369,0.9970555613065414,500000
z,t,3,all,0.9979183158450848,0.9979183158450848,0.9638197602690102,0.9638197602690102,F1,500000,proxy,0.03429546550888866,0.9657045344911114,0.9636942426633315,500000
z,t,3,foreground,0.9948008349361707,0.9948008349361707,0.9677203724701657,0.9677203724701657,F1,500000,gt,0.0005517953386616144,0.9994482046613384,0.9942519084725563,500000
z,t,3,foreground,0.9948008349361707,0.9948008349361707,0.9677203724701657,0.9677203724701657,F1,500000,proxy,0.0797798498478964,0.9202201501521036,0.915435773696401,500000
z,t,3,background,0.9995995163811743,0.9995995163811743,0.904564269060068,0.904564269060068,F1,500000,gt,0.001486615978094201,0.9985133840219058,0.9981134957684268,500000
z,t,3,background,0.9995995163811743,0.9995995163811743,0.904564269060068,0.904564269060068,F1,500000,proxy,0.015557870572970877,0.9844421294270291,0.9840478764805117,500000
z,t,4,all,0.9971034421960644,0.9971034421960644,0.9605001456026516,0.9605001456026516,F1,500000,gt,0.0022466887521880876,0.9977533112478119,0.9948632611077144,500000
z,t,4,all,0.9971034421960644,0.9971034421960644,0.9605001456026516,0.9605001456026516,F1,500000,proxy,0.03615833716109608,0.9638416628389039,0.9610498397486497,500000
z,t,4,foreground,0.9885210827129094,0.9885210827129094,0.9616351546329738,0.9616351546329738,F1,500000,gt,-0.0008880776983582476,0.9991119223016417,0.9876431991849951,500000
z,t,4,foreground,0.9885210827129094,0.9885210827129094,0.9616351546329738,0.9616351546329738,F1,500000,proxy,0.07622662428369682,0.9237733757163031,0.9131694575444392,500000
z,t,4,background,0.9994600582561595,0.9994600582561595,0.9015770200772497,0.9015770200772497,F1,500000,gt,-0.00011667355548473731,0.9998833264445153,0.9993434476975978,500000
z,t,4,background,0.9994600582561595,0.9994600582561595,0.9015770200772497,0.9015770200772497,F1,500000,proxy,0.014361656003820208,0.9856383439961798,0.9851061567099264,500000
z,t,5,all,0.9922019874008189,0.9922019874008189,0.9609543300899154,0.9609543300899154,F1,500000,gt,-0.0024340084828525376,0.9975659915171474,0.9897869593467821,500000
z,t,5,all,0.9922019874008189,0.9922019874008189,0.9609543300899154,0.9609543300899154,F1,500000,proxy,0.036201579110044145,0.9637984208899558,0.9562827086607851,500000
z,t,5,foreground,0.9868074046264925,0.9868074046264925,0.9527631560121769,0.9527631560121769,F1,500000,gt,-0.0011288593046674161,0.9988711406953326,0.9856934379058652,500000
z,t,5,foreground,0.9868074046264925,0.9868074046264925,0.9527631560121769,0.9527631560121769,F1,500000,proxy,0.08009479576038665,0.9199052042396133,0.9077692670980964,500000
z,t,5,background,0.9991691236910453,0.9991691236910453,0.9012336553265266,0.9012336553265266,F1,500000,gt,0.001496183568126938,0.998503816431873,0.9976741832663989,500000
z,t,5,background,0.9991691236910453,0.9991691236910453,0.9012336553265266,0.9012336553265266,F1,500000,proxy,0.014342810405519347,0.9856571895944807,0.9848382303868958,500000
z,t,6,all,0.9936495596844773,0.9936495596844773,0.9568933578317951,0.9568933578317951,F1,500000,gt,-0.00047574922362709484,0.9995242507763729,0.9931768316778999,500000
z,t,6,all,0.9936495596844773,0.9936495596844773,0.9568933578317951,0.9568933578317951,F1,500000,proxy,0.034043869268492295,0.9659561307315077,0.959821883975884,500000
z,t,6,foreground,0.9806958593547453,0.9806958593547453,0.9581826380666939,0.9581826380666939,F1,500000,gt,0.0012083892777686727,0.9987916107222313,0.9795107969935489,500000
z,t,6,foreground,0.9806958593547453,0.9806958593547453,0.9581826380666939,0.9581826380666939,F1,500000,proxy,0.07950826866051683,0.9204917313394831,0.9027224294949118,500000
z,t,6,background,0.9988974298482767,0.9988974298482767,0.901316535504221,0.901316535504221,F1,500000,gt,-0.0009026259404743344,0.9990973740595257,0.9979957991162225,500000
