epoch,batch,total_loss,loss2neighbor,loss_idt,loss_reg,loss_bg
1,1,4.353604793548584,4.226739883422852,0.125230610370636,16.340953826904297,2.768378257751465
1,2,19.7436580657959,19.696590423583984,0.046369120478630066,6.972667217254639,2.200684070587158
1,3,13.508366584777832,7.615339279174805,5.876856803894043,161.70236206054688,4.944453716278076
1,4,6.123922824859619,3.8345298767089844,2.2821197509765625,72.73011016845703,1.8873958587646484
1,5,7.071621417999268,4.9278669357299805,2.1378607749938965,58.93937683105469,3.77952241897583
1,6,3.6215620040893555,3.0662126541137695,0.5537418723106384,16.07331657409668,2.158202648162842
1,7,3.1939735412597656,2.280153274536133,0.911171555519104,26.488357543945312,1.5687484741210938
1,8,2.1163816452026367,1.4480268955230713,0.6664700508117676,18.848031997680664,0.7191379070281982
1,9,1.2250168323516846,0.8839697241783142,0.34009432792663574,9.527268409729004,0.29097312688827515
1,10,1.249448299407959,1.0642356872558594,0.1847129613161087,4.996545314788818,0.7983098030090332
1,11,4.859875679016113,4.557375431060791,0.3014903962612152,10.097331047058105,0.48751315474510193
1,12,2.2755494117736816,2.0723929405212402,0.20260056853294373,5.560728073120117,0.20866738259792328
1,13,0.24550704658031464,0.24423278868198395,0.001196112367324531,0.7814056873321533,0.011203162372112274
1,14,0.2154870480298996,0.21382617950439453,0.0015945329796522856,0.6633360981941223,0.0076815905049443245
1,15,1.496854543685913,1.2252100706100464,0.27094483375549316,6.99614143371582,0.22342565655708313
1,16,0.6695196032524109,0.5969870686531067,0.07235240936279297,1.8012582063674927,0.2246590554714203
1,17,0.6655128598213196,0.601353108882904,0.06401030719280243,1.4940475225448608,0.22318288683891296
1,18,0.3147745728492737,0.2907308042049408,0.023977801203727722,0.6597940921783447,0.05702982097864151
1,19,1.9869928359985352,1.7312142848968506,0.2551659941673279,6.1254987716674805,0.21357637643814087
1,20,0.29074788093566895,0.2704094648361206,0.020284485071897507,0.5393956899642944,0.05845815688371658
1,21,0.5150847434997559,0.4836956262588501,0.031305789947509766,0.833312451839447,0.1356227695941925
1,22,1.370889663696289,1.2978650331497192,0.07279564440250397,2.2898664474487305,0.21802257001399994
1,23,1.3718873262405396,1.309812307357788,0.06187757849693298,1.9746227264404297,0.26578399538993835
1,24,1.4941866397857666,1.37058424949646,0.12321236729621887,3.9010705947875977,0.42194896936416626
1,25,0.12043549865484238,0.11984869837760925,0.0005679925088770688,0.18804793059825897,0.0023567453026771545
1,26,1.3727935552597046,1.2871909141540527,0.08528110384941101,3.2146012783050537,1.431079387664795
1,27,1.2175465822219849,1.1517038345336914,0.06566817313432693,1.744797945022583,0.6714797019958496
1,28,1.5577502250671387,1.434445858001709,0.12295250594615936,3.519602060317993,0.4587811231613159
1,29,1.1702845096588135,1.073821783065796,0.09620511531829834,2.5757787227630615,0.41698116064071655
1,30,0.4716295599937439,0.46010756492614746,0.011486250907182693,0.3573540449142456,0.03776521235704422
1,31,0.24834969639778137,0.2437334656715393,0.004591306671500206,0.2492227405309677,0.21463391184806824
1,32,0.7271285057067871,0.689056396484375,0.0379534512758255,1.1864349842071533,0.2890043258666992
1,33,0.9596002101898193,0.9209810495376587,0.03851492702960968,1.0425028800964355,0.1017148345708847
1,34,2.2090108394622803,2.1481239795684814,0.06059148535132408,2.9541802406311035,0.08931282162666321
1,35,0.5667851567268372,0.5350341796875,0.03165386989712715,0.9710164666175842,0.08649656176567078
1,36,0.5428003072738647,0.5323423147201538,0.010425711050629616,0.32328900694847107,0.014428333379328251
1,37,0.26303988695144653,0.2585489749908447,0.004473663866519928,0.1724725216627121,0.09178660064935684
1,38,0.5294145941734314,0.5111405849456787,0.01820669323205948,0.6726433634757996,0.021455172449350357
1,39,0.5666464567184448,0.5362076163291931,0.030347123742103577,0.9175059199333191,0.0852343738079071
1,40,0.52700275182724,0.5067300796508789,0.020224282518029213,0.48395469784736633,0.023825379088521004
1,41,0.977647602558136,0.9251519441604614,0.0523504763841629,1.452176809310913,0.08810998499393463
1,42,0.10649222880601883,0.10627344995737076,0.00020923971896991134,0.09539055824279785,0.007030908018350601
1,43,0.08020874112844467,0.07983377575874329,0.0003622510703280568,0.12714147567749023,0.02473285421729088
1,44,1.3798614740371704,1.321509838104248,0.05811727046966553,2.343838691711426,0.14590191841125488
1,45,0.06639792025089264,0.06520717591047287,0.0011727283708751202,0.18017539381980896,0.014762256294488907
1,46,0.9491264820098877,0.9175039529800415,0.03152669593691826,0.9584497809410095,0.26543402671813965
1,47,0.27462413907051086,0.26643693447113037,0.008163717575371265,0.23493298888206482,0.02317328006029129
1,48,0.23287007212638855,0.22894221544265747,0.003906768746674061,0.21079804003238678,0.27494585514068604
1,49,1.245361566543579,1.1849431991577148,0.06018714979290962,2.312934637069702,0.2931292653083801
1,50,0.05853636935353279,0.0582771822810173,0.0002477845991961658,0.11403258144855499,0.0017528687603771687
1,51,0.716100811958313,0.6973088383674622,0.018692277371883392,0.9970405697822571,0.32009804248809814
1,52,0.04609609395265579,0.04569399356842041,0.00039030323387123644,0.11797358095645905,0.10116887837648392
1,53,0.8965662121772766,0.8701074719429016,0.02636670134961605,0.92046058177948,0.2115042805671692
1,54,0.031358178704977036,0.031197093427181244,0.00015251243894454092,0.08571646362543106,0.0012483601458370686
1,55,0.39891499280929565,0.3895728588104248,0.009306317195296288,0.3582180142402649,0.07408455014228821
1,56,0.032440949231386185,0.03221611678600311,0.00021569560340140015,0.09139346331357956,0.0020286981016397476
1,57,0.9446578621864319,0.9199944138526917,0.024579357355833054,0.8412436246871948,0.06535856425762177
1,58,1.3093323707580566,1.2834441661834717,0.025748882442712784,1.3932976722717285,0.03977629169821739
1,59,1.4732917547225952,1.4259684085845947,0.04712878167629242,1.9457765817642212,0.07890858501195908
1,60,0.18936492502689362,0.18470245599746704,0.004640571773052216,0.218849778175354,0.219540074467659
1,61,0.819729745388031,0.7935904264450073,0.02605518326163292,0.8415195345878601,0.25698336958885193
1,62,0.5056061744689941,0.4951714873313904,0.010386987589299679,0.47712281346321106,0.0853506475687027
1,63,0.04745545983314514,0.04709775000810623,0.00034727039746940136,0.10439998656511307,0.0012072548270225525
1,64,0.44513872265815735,0.43350374698638916,0.011597144417464733,0.37817123532295227,0.06012307479977608
1,65,1.3893378973007202,1.351538896560669,0.037569403648376465,2.2962470054626465,0.3166716694831848
1,66,0.4946916401386261,0.4891032576560974,0.005569807719439268,0.18554507195949554,0.014898532070219517
1,67,1.2633730173110962,1.2088606357574463,0.054277628660202026,2.3474998474121094,0.3400764465332031
1,68,1.1372865438461304,1.1054397821426392,0.03169044479727745,1.5623135566711426,0.4662880003452301
1,69,0.16636602580547333,0.16192947328090668,0.004416207782924175,0.2034258097410202,0.1996241807937622
1,70,0.41705986857414246,0.40834277868270874,0.008673499338328838,0.4359535574913025,0.08269629627466202
1,71,0.49207136034965515,0.47718358039855957,0.014822502620518208,0.6527436971664429,0.12900793552398682
1,72,0.012107782065868378,0.012059161439538002,4.175270805717446e-05,0.06867200881242752,0.0009866446489468217
1,73,0.7530615925788879,0.7349896430969238,0.017938833683729172,1.3307816982269287,0.24606700241565704
1,74,0.030145378783345222,0.029922110959887505,0.0002124124439433217,0.10855641961097717,0.0011002965038642287
1,75,0.7865323424339294,0.7624607682228088,0.02399326302111149,0.7833792567253113,0.2163468599319458
1,76,0.03324922174215317,0.032923854887485504,0.000311912881443277,0.13455748558044434,0.04232776165008545
1,77,1.25234854221344,1.2115263938903809,0.04057799279689789,2.4419326782226562,0.19793468713760376
1,78,0.2991511821746826,0.2925243377685547,0.00660397345200181,0.22843506932258606,0.015336476266384125
1,79,0.45101043581962585,0.43304502964019775,0.01791854202747345,0.46890556812286377,0.05514860525727272
1,80,0.1659957319498062,0.16171105206012726,0.004262725822627544,0.2195386439561844,0.14781562983989716
1,81,0.2785753011703491,0.2714841365814209,0.007069866172969341,0.21305249631404877,0.008848675526678562
1,82,1.3014516830444336,1.2843527793884277,0.017000433057546616,0.9843199849128723,0.06690658628940582
1,83,0.14525458216667175,0.14145277440547943,0.0037815384566783905,0.2027043104171753,0.12497463822364807
1,84,1.1790331602096558,1.1384892463684082,0.04035145416855812,1.9236152172088623,0.24640397727489471
1,85,0.8426361680030823,0.8239908218383789,0.01851518452167511,1.3020250797271729,0.21926328539848328
1,86,0.7809001207351685,0.7514821290969849,0.02933054231107235,0.8744056820869446,0.22845274209976196
1,87,1.4573808908462524,1.4223177433013916,0.03472709655761719,3.3610756397247314,0.276719331741333
1,88,1.2782058715820312,1.2474336624145508,0.030570536851882935,2.017378807067871,0.7289501428604126
1,89,0.8020817041397095,0.7686928510665894,0.03327234089374542,1.165350317955017,0.4629557132720947
1,90,1.0148667097091675,0.9688313603401184,0.04588218033313751,1.5318366289138794,0.15042166411876678
1,91,0.25589120388031006,0.24909895658493042,0.006772871129214764,0.19382303953170776,0.013561610132455826
1,92,1.1200758218765259,1.0784151554107666,0.04137653857469559,2.8404085636138916,0.0948474109172821
1,93,1.315824270248413,1.2965748310089111,0.01913178525865078,1.1766819953918457,0.060415029525756836
1,94,1.189165472984314,1.146467924118042,0.04247555881738663,2.219524621963501,0.10609761625528336
1,95,0.018683021888136864,0.018547896295785904,0.0001236352982232347,0.11490660160779953,0.001242948230355978
1,96,0.2367270141839981,0.22897553443908691,0.007720921188592911,0.3056015372276306,0.025754423812031746
1,97,0.1753493845462799,0.17152833938598633,0.0037860539741814137,0.3498379588127136,0.1598188430070877
1,98,0.47579842805862427,0.4635162055492401,0.012242591008543968,0.39630985260009766,0.04707244038581848
1,99,0.06131550297141075,0.06021292507648468,0.0010792871471494436,0.2328893393278122,0.014176534488797188
1,100,0.059725623577833176,0.05875704437494278,0.0009450633078813553,0.23516017198562622,0.0145037192851305
2,1,0.02670665644109249,0.02650221809744835,0.00018941951566375792,0.15018069744110107,0.0018290432635694742
2,2,0.4098013937473297,0.39687156677246094,0.012866307981312275,0.6349884867668152,0.04149549454450607
2,3,0.4642023742198944,0.4546054005622864,0.009539546445012093,0.5742222666740417,0.042725786566734314
2,4,0.46432310342788696,0.4540902376174927,0.010166386142373085,0.664913535118103,0.037950221449136734
2,5,0.3666328191757202,0.35582053661346436,0.010766884312033653,0.4539530575275421,0.021284425631165504
2,6,0.6398276090621948,0.620073139667511,0.019627029076218605,1.2743778228759766,0.17503277957439423
2,7,0.450786292552948,0.436562180519104,0.014126770198345184,0.9732649922370911,0.027231132611632347
2,8,0.08153446763753891,0.0812290757894516,0.00029001382063142955,0.15379537642002106,0.002210643608123064
2,9,1.0790421962738037,1.0578670501708984,0.021038483828306198,1.3664377927780151,0.18920354545116425
2,10,1.0176390409469604,0.9950830936431885,0.02239857241511345,1.5739450454711914,0.2318410575389862
