epoch,batch,total_loss,loss2neighbor,loss_idt,loss_reg,loss_bg,loss_grad
1,1,24.424610137939453,18.13189125061035,6.269671440124512,230.4759521484375,,
1,2,19.695858001708984,14.360187530517578,5.315482139587402,201.8661346435547,,
1,3,30.422718048095703,17.128494262695312,13.25946044921875,347.6359558105469,,
1,4,7.366063117980957,3.74977970123291,3.6065125465393066,97.70941162109375,,
1,5,4.486927509307861,2.718120574951172,1.763786792755127,50.20097732543945,,
1,6,4.121782302856445,2.1036605834960938,2.0126805305480957,54.411094665527344,,
1,7,2.9453952312469482,2.027446746826172,0.9153720140457153,25.767038345336914,,
1,8,1.9704663753509521,1.6129250526428223,0.35568881034851074,18.524560928344727,,
1,9,1.7420670986175537,1.4692060947418213,0.271528422832489,13.324664115905762,,
1,10,2.945634365081787,2.717517375946045,0.22699007391929626,11.270234107971191,,
1,11,1.3133577108383179,1.1183075904846191,0.1942082941532135,8.418960571289062,,
1,12,1.078690528869629,0.9328118562698364,0.1451989710330963,6.797269821166992,,
1,13,1.1716758012771606,1.0935572385787964,0.07770590484142303,4.127081394195557,,
1,14,1.3591082096099854,1.1908763647079468,0.1677687019109726,4.631018161773682,,
1,15,1.3180896043777466,1.1241742372512817,0.19336548447608948,5.498696327209473,,
1,16,1.4174920320510864,1.3646780252456665,0.05255063623189926,2.633525848388672,,
1,17,1.2207279205322266,1.1270506381988525,0.09341149777173996,2.658324718475342,,
1,18,1.1564892530441284,1.0082799196243286,0.14777541160583496,4.3386712074279785,,
1,19,0.9394302368164062,0.884885847568512,0.054331548511981964,2.1286730766296387,,
1,20,0.9932026267051697,0.8801841735839844,0.11268602311611176,3.3238542079925537,,
1,21,1.3132691383361816,1.2286872863769531,0.08435280621051788,2.2895660400390625,,
1,22,0.6559194922447205,0.570713996887207,0.08491778373718262,2.877384662628174,,
1,23,1.1151407957077026,1.0668654441833496,0.048047080636024475,2.283308982849121,,
1,24,0.7341996431350708,0.6962254047393799,0.03778970241546631,1.8455302715301514,,
1,25,0.9846810102462769,0.9245792031288147,0.0599491260945797,1.5273168087005615,,
1,26,0.5796780586242676,0.522567629814148,0.05690997093915939,2.0042779445648193,,
1,27,0.8448209762573242,0.8122552633285522,0.03243422508239746,1.3147282600402832,,
1,28,0.796987771987915,0.7656234502792358,0.031224237754940987,1.4006149768829346,,
1,29,1.0976970195770264,1.0726057291030884,0.024943102151155472,1.4819415807724,,
1,30,0.9919847249984741,0.927086353302002,0.06470943242311478,1.8891764879226685,,
1,31,1.0158025026321411,0.9758179783821106,0.039866894483566284,1.1769418716430664,,
1,32,1.061964988708496,1.0187077522277832,0.04313120245933533,1.2597801685333252,,
1,33,1.113095760345459,1.0798872709274292,0.033036306500434875,1.7214449644088745,,
1,34,1.02665376663208,0.9645684361457825,0.06189008057117462,1.9527230262756348,,
1,35,1.2171462774276733,1.1621968746185303,0.054791636765003204,1.5771321058273315,,
1,36,1.0205321311950684,0.9461820125579834,0.07414834201335907,2.017902374267578,,
1,37,0.8227291703224182,0.8006120324134827,0.0220035370439291,1.1363530158996582,,
1,38,1.1569284200668335,1.133668303489685,0.023128170520067215,1.3202303647994995,,
1,39,1.19794499874115,1.1646513938903809,0.033126480877399445,1.6715573072433472,,
1,40,0.9139754772186279,0.8666486740112305,0.04718579351902008,1.4104888439178467,,
1,41,0.9697980880737305,0.9125615358352661,0.05709186941385269,1.4467343091964722,,
1,42,0.6947908401489258,0.631619393825531,0.0630132183432579,1.582499384880066,,
1,43,1.5279312133789062,1.4989019632339478,0.02892167866230011,1.0753551721572876,,
1,44,0.535856306552887,0.5064067840576172,0.02934383973479271,1.0570106506347656,,
1,45,0.9483948945999146,0.9220573306083679,0.026264116168022156,0.7344948649406433,,
1,46,1.1684364080429077,1.1368818283081055,0.03146526962518692,0.8925536274909973,,
1,47,1.2541266679763794,1.2255115509033203,0.028522972017526627,0.9210515022277832,,
1,48,0.9832574129104614,0.9453731775283813,0.03776879608631134,1.1545811891555786,,
1,49,1.1569479703903198,1.12306547164917,0.03378608077764511,0.9642091393470764,,
1,50,0.6968145966529846,0.6648443937301636,0.03186676651239395,1.0343047380447388,,
1,51,0.9670658707618713,0.9263488054275513,0.040612511336803436,1.0457481145858765,,
1,52,1.472210168838501,1.4584318399429321,0.013684110715985298,0.9418330192565918,,
1,53,0.9811936020851135,0.9416695833206177,0.0394100546836853,1.1397895812988281,,
1,54,1.4247275590896606,1.3688820600509644,0.05570235475897789,1.4320168495178223,,
1,55,0.9876199960708618,0.9739217162132263,0.01362363900989294,0.7462881207466125,,
1,56,1.224425196647644,1.1936187744140625,0.03072167932987213,0.847095787525177,,
1,57,0.6667271852493286,0.6513554453849792,0.015310829505324364,0.6093624830245972,,
1,58,1.0578960180282593,1.0265626907348633,0.031233273446559906,1.0003454685211182,,
1,59,0.9453300833702087,0.9333532452583313,0.011915572918951511,0.6126394271850586,,
1,60,1.5325309038162231,1.512476921081543,0.0199835654348135,0.704792320728302,,
1,61,0.8168613910675049,0.8008323907852173,0.015945587307214737,0.8335764408111572,,
1,62,0.7970675826072693,0.762820839881897,0.0341605469584465,0.8618146181106567,,
1,63,1.2211817502975464,1.1958308219909668,0.025285620242357254,0.6530956625938416,,
1,64,0.7032453417778015,0.6928272247314453,0.01037535909563303,0.42737630009651184,,
1,65,0.873948872089386,0.8446090817451477,0.029256649315357208,0.8317077159881592,,
1,66,0.8257882595062256,0.7940839529037476,0.031617455184459686,0.8686408996582031,,
1,67,0.8857241868972778,0.8475927114486694,0.03802996128797531,1.0152524709701538,,
1,68,0.8335243463516235,0.801167368888855,0.03227175027132034,0.852361261844635,,
1,69,1.143906831741333,1.1168935298919678,0.026940051466226578,0.7319729924201965,,
